"cls_code","cls_libelle","cls_description"
"01",Test,
"1_JU",Première Classe,
"1_MIL",Général d’Armée,
"1_PM",Classe Exceptionnelle,
"1_SG","1ere classe","1CL"
"10_MIL",Lieutenant,
"10_PM",Divisionnaire ,
"10_SG",Principale 1ere classe,PPL 1ECH
"11_MIL",Sous Lieutenant,
"11_PM",Chef,
"11_SG",Principale 2eme classe,PPL 2CL
"12_MIL",Aspirant E4,
"12_PM",Principale de Classe Exceptionnelle,
"12_SG",Stagiaire,Stagiaire
"13_MIL",Aspirant E3,
"13_PM",Principale de 1ere Classe,
"14_MIL",Aspirant E2,
"14_PM",Principale de 2eme Classe,
"15_MIL",Adjudant Major E4,
"15_PM",Adjudant  chef de classe Exceptionnelle,
"16_MIL",Adjudant Chef E4,
"16_PM",Adjudant  chef ,
"17_MIL",Adjudant E4,
"17_PM",Adjudant  1ere Classe,
"18_MIL",Adjudant E3,
"18_PM",Adjudant  2ieme Classe,
"19_MIL",Sergent-Chef E4,
"19_PM",Brigadier chef,
"2_JU",Deuxième classe,
"2_MIL",Général de Corps d’Armées,
"2_PM","1ere Classe",
"2_SG","2eme classe","2CL"
"20_MIL",Sergent-Chef E3,
"20_PM",Brigadier chef stagiaire,
"21_MIL",Sergent E4,
"21_PM",Adjudant major,
"22_MIL",Sergent E3,
"22_PM",Adjudant,
"23_MIL",Sergent E2,
"23_PM",Inspecteur Général,
"24_MIL",Caporal Chef E2,
"24_PM",Contrôleur général,
"25_MIL",Caporal E2,
"25_PM",Commandant de police,
"26_MIL",Sapeur de 1ere classe E2,
"26_PM",Capitaine de Police,
"27_MIL",Sapeur 1ere classe E1,
"27_PM",Lieutenant de Police de 1ère Classe,
"28_MIL",Sapeur 2ème  classe E2,
"28_PM",Lieutenant de Police de 2ème Classe ,
"29_MIL",Sapeur 2ème  classe E1,
"29_PM",Sous-lieutenant de Police,
"3_JU",Stagiaire,
"3_MIL",Général de Division,
"3_PM","2eme Classe",
"3_SG","3eme classe","3CL"
"30_MIL",Général d’Armée Aérienne,
"30_PM",Brigadier,
"31_MIL",Général de Corps d’Armées Aérienne,
"32_MIL",Général de Division Aérienne,
"33_MIL",Général de Brigade Aérienne,
"34_MIL",Soldat de 1ere classe E2,
"35_MIL",Soldat 1ere classe E1,
"36_MIL",Soldat 2ème  classe E2,
"37_MIL",Soldat 2ème  classe E1,
"38_MIL",Amiral,
"39_MIL",Vice-amiral d’escadre,
"4_MIL",Général de Brigade,
"4_PM","3eme Classe",
"4_SG","4eme classe","4CL"
"40_MIL",Vice-amiral,
"41_MIL",Contre-amiral,
"42_MIL",Capitaine de vaisseau,
"43_MIL",Capitaine de frégate,
"44_MIL",Capitaine de corvette,
"45_MIL",Lieutenant de vaisseau,
"46_MIL",Enseigne de vaisseau de 1ere classe,
"47_MIL",Enseigne de vaisseau de 2ème classe,
"48_MIL",Maitre principal E4,
"49_MIL",Premier-maitre E4,
"5_MIL",Colonel,
"5_PM","4eme Classe",
"5_SG","5eme classe","5CL"
"50_MIL",Premier-maitre E3,
"51_MIL",Maitre E4,
"52_MIL",Maitre E3,
"53_MIL",Second-maitre E4,
"54_MIL",Second-maitre E3,
"55_MIL",Second-maitre E2,
"56_MIL",Quartier maitre de 1ère classe E2,
"57_MIL",Quartier maitre de 2éme classe E2,
"58_MIL",Matelot 1ere classe E2,
"59_MIL",Matelot 1ere classe E1,
"6_MIL",Lieutenant Colonel,
"6_PM",Stagiaire,
"6_SG","6eme classe","6CL"
"60_MIL",Matelot 2ème  classe E2,
"61_MIL",Matelot 2ème  classe E1,
"62_MIL",Sous-lieutenant d’active,
"63_MIL",Sous-lieutenant de réserve,
"64_MIL",Maréchal des logis chef E4,
"65_MIL",Gendarme E4,
"66_MIL",Gendarme E3,
"67_MIL",Gendarme commissionné E2,
"68_MIL",Elève Gendarme E2,
"69_MIL",Chef d'Escadron,
"7_MIL",Commandant,
"7_PM",Classe Principale,
"7_SG",Classe exceptionnelle,CEX
"8_MIL",Chef de Bataillon,
"8_PM",Eleve,
"8_SG",Principale de classe exceptionnelle,PPL CEX
"9_MIL",Capitaine,
"9_PM",Divisionnaire de Classe Exceptionnelle,
"9_SG",Principale,PPL
NR_SG,NON RENSEIGNE,NON RENSEIGNE
