"cps_code","cps_libelle","cps_age_retraite","cps_description","cps_hierarchie_code","cps_cadre_code","cps_typecorps_code","cps_libelle_singulier"
"1_SG",ANCIENS PRESIDENTS,60,Anciens présidents,"1_SG","1_SG",FONCT,ANCIENS PRESIDENT
"10001",PRESIDENT,60,PRESIDENT,,"1_SG",FONCT,PRESIDENT
"10003",ANCIENS PRESIDENTS,60,ANCIENS PRESIDENTS,,"1_SG",FONCT,ANCIENS PRESIDENT
"10026",SPECIALISTES FONCTION PUBLIQUE A1 NF,60,SPECIALISTES FONCTION PUBLIQUE A1 NF,"1_SG","1_SG",NON_FONCT,SPECIALISTES FONCTION PUBLIQUE A1 NF
"10027",ADMINISTRATEURS CIVILS A1,60,ADMINISTRATEURS CIVILS A1,"1_SG","1_SG",FONCT,ADMINISTRATEURS CIVILS A1
"10028",SOCIOLOGUES A1 NF,60,SOCIOLOGUES A1 NF,"1_SG","1_SG",NON_FONCT,SOCIOLOGUES A1 NF
"10029",ADMINISTRATEURS CIVILS NF REF,60,ADMINISTRATEURS CIVILS NF REF,"1_SG","1_SG",NON_FONCT,ADMINISTRATEURS CIVILS NF REF
"10030",COMMISSAIRES DES ASSURANCES A1 NF,60,COMMISSAIRES DES ASSURANCES A1 NF,"1_SG","1_SG",NON_FONCT,COMMISSAIRES DES ASSURANCES A1 NF
"10032",COMMISSAIRES DES ASSURANCES A2 NF,60,COMMISSAIRES DES ASSURANCES A2 NF,"2_SG","1_SG",NON_FONCT,COMMISSAIRES DES ASSURANCES A2 NF
"10102",SOCIOLOGUES A2 NF,60,SOCIOLOGUES A2 NF,"2_SG","1_SG",NON_FONCT,SOCIOLOGUES A2 NF
"10104",CADRES EN ADMINISTRATION NF,60,CADRES EN ADMINISTRATION NF,"2_SG","1_SG",NON_FONCT,CADRES EN ADMINISTRATION NF
"10106",SPECIALISTES FONCTION PUBLIQUE A2 NF,60,SPECIALISTES FONCTION PUBLIQUE A2 NF,"2_SG","1_SG",NON_FONCT,SPECIALISTES FONCTION PUBLIQUE A2 NF
"10201",ATTACHES D'ADMINISTRATION A3,60,ATTACHES D'ADMINISTRATION A3,"3_SG","1_SG",FONCT,ATTACHES D'ADMINISTRATION A3
"10202",ATTACHES D'ADMINISTRATION NF REF,60,ATTACHES D'ADMINISTRATION NF REF,"3_SG","1_SG",NON_FONCT,ATTACHES D'ADMINISTRATION NF REF
"10204",SOCIOLOGUES A3 NF,60,SOCIOLOGUES A3 NF,"3_SG","1_SG",NON_FONCT,SOCIOLOGUES A3 NF
"10205",SOCIOLOGUES B1 NF,60,SOCIOLOGUES B1 NF,"5_SG","1_SG",NON_FONCT,SOCIOLOGUES B1 NF
