"cce_id","cce_cps_code","cce_cls_code","cce_ech_code","cce_duree","cce_fin_grade","cce_fin_echelon","cce_operation","cce_appelation_grade","cce_appelation_echelon","cce_suivant","cce_fisrt"
1,"10026","4_SG","1_SG",2,0,0,=,,,2,
2,"10026","4_SG","2_SG",2,1,0,=,,,3,
3,"10026","3_SG","1_SG",2,0,0,=,,,4,
4,"10026","3_SG","2_SG",2,1,0,=,,,5,
5,"10026","2_SG","1_SG",3,0,0,=,,,6,
6,"10026","2_SG","2_SG",3,1,0,=,,,7,
7,"10026","1_SG","1_SG",3,0,0,=,,,8,
8,"10026","1_SG","2_SG",3,1,0,=,,,9,
9,"10026","7_SG","26_SG",3,1,1,=,,,,
10,"10028","4_SG","1_SG",2,0,0,=,,,11,
11,"10028","4_SG","2_SG",2,1,0,=,,,12,
12,"10028","3_SG","1_SG",2,0,0,=,,,13,
13,"10028","3_SG","2_SG",2,1,0,=,,,14,
14,"10028","2_SG","1_SG",3,0,0,=,,,15,
15,"10028","2_SG","2_SG",3,1,0,=,,,16,
16,"10028","1_SG","1_SG",3,0,0,=,,,17,
17,"10028","1_SG","2_SG",3,1,0,=,,,18,
18,"10028","7_SG","26_SG",3,1,1,=,,,,
19,"10029","4_SG","1_SG",2,0,0,=,,,20,
20,"10029","4_SG","2_SG",2,1,0,=,,,21,
21,"10029","3_SG","1_SG",2,0,0,=,,,22,
22,"10029","3_SG","2_SG",2,1,0,=,,,23,
23,"10029","2_SG","1_SG",3,0,0,=,,,24,
24,"10029","2_SG","2_SG",3,1,0,=,,,25,
25,"10029","1_SG","1_SG",3,0,0,=,,,26,
26,"10029","1_SG","2_SG",3,1,0,=,,,27,
27,"10029","7_SG","26_SG",3,1,1,=,,,,
28,"10030","4_SG","1_SG",2,0,0,=,,,29,
29,"10030","4_SG","2_SG",2,1,0,=,,,30,
30,"10030","3_SG","1_SG",2,0,0,=,,,31,
31,"10030","3_SG","2_SG",2,1,0,=,,,32,
32,"10030","2_SG","1_SG",3,0,0,=,,,33,
33,"10030","2_SG","2_SG",3,1,0,=,,,34,
34,"10030","1_SG","1_SG",3,0,0,=,,,35,
35,"10030","1_SG","2_SG",3,1,0,=,,,36,
36,"10030","7_SG","26_SG",3,1,1,=,,,,
37,"10032","4_SG","1_SG",2,0,0,=,,,38,
38,"10032","4_SG","2_SG",2,1,0,=,,,39,
39,"10032","3_SG","1_SG",2,0,0,=,,,40,
40,"10032","3_SG","2_SG",2,1,0,=,,,41,
41,"10032","2_SG","1_SG",3,0,0,=,,,42,
42,"10032","2_SG","2_SG",3,1,0,=,,,43,
43,"10032","1_SG","1_SG",3,0,0,=,,,44,
44,"10032","1_SG","2_SG",3,1,0,=,,,45,
45,"10032","7_SG","26_SG",3,1,1,=,,,,
46,"10102","4_SG","1_SG",2,0,0,=,,,47,
47,"10102","4_SG","2_SG",2,1,0,=,,,48,
48,"10102","3_SG","1_SG",2,0,0,=,,,49,
49,"10102","3_SG","2_SG",2,1,0,=,,,50,
50,"10102","2_SG","1_SG",3,0,0,=,,,51,
51,"10102","2_SG","2_SG",3,1,0,=,,,52,
52,"10102","1_SG","1_SG",3,0,0,=,,,53,
53,"10102","1_SG","2_SG",3,1,0,=,,,54,
54,"10102","7_SG","26_SG",3,1,1,=,,,,
55,"10104","4_SG","1_SG",2,0,0,=,,,56,
56,"10104","4_SG","2_SG",2,1,0,=,,,57,
57,"10104","3_SG","1_SG",2,0,0,=,,,58,
58,"10104","3_SG","2_SG",2,1,0,=,,,59,
59,"10104","2_SG","1_SG",3,0,0,=,,,60,
60,"10104","2_SG","2_SG",3,1,0,=,,,61,
61,"10104","1_SG","1_SG",3,0,0,=,,,62,
62,"10104","1_SG","2_SG",3,1,0,=,,,63,
63,"10104","7_SG","26_SG",3,1,1,=,,,,
64,"10106","4_SG","1_SG",2,0,0,=,,,65,
65,"10106","4_SG","2_SG",2,1,0,=,,,66,
66,"10106","3_SG","1_SG",2,0,0,=,,,67,
67,"10106","3_SG","2_SG",2,1,0,=,,,68,
68,"10106","2_SG","1_SG",3,0,0,=,,,69,
69,"10106","2_SG","2_SG",3,1,0,=,,,70,
70,"10106","1_SG","1_SG",3,0,0,=,,,71,
71,"10106","1_SG","2_SG",3,1,0,=,,,72,
72,"10106","7_SG","26_SG",3,1,1,=,,,,
73,"10202","4_SG","1_SG",2,0,0,=,,,74,
74,"10202","4_SG","2_SG",2,1,0,=,,,75,
75,"10202","3_SG","1_SG",2,0,0,=,,,76,
76,"10202","3_SG","2_SG",2,1,0,=,,,77,
77,"10202","2_SG","1_SG",3,0,0,=,,,78,
78,"10202","2_SG","2_SG",3,1,0,=,,,79,
79,"10202","1_SG","1_SG",3,0,0,=,,,80,
80,"10202","1_SG","2_SG",3,1,0,=,,,81,
81,"10202","7_SG","26_SG",3,1,1,=,,,,
82,"10204","4_SG","1_SG",2,0,0,=,,,83,
83,"10204","4_SG","2_SG",2,1,0,=,,,84,
84,"10204","3_SG","1_SG",2,0,0,=,,,85,
85,"10204","3_SG","2_SG",2,1,0,=,,,86,
86,"10204","2_SG","1_SG",3,0,0,=,,,87,
87,"10204","2_SG","2_SG",3,1,0,=,,,88,
88,"10204","1_SG","1_SG",3,0,0,=,,,89,
89,"10204","1_SG","2_SG",3,1,0,=,,,90,
90,"10204","7_SG","26_SG",3,1,1,=,,,,
91,"10205","4_SG","1_SG",2,0,0,=,,,92,
92,"10205","4_SG","2_SG",2,1,0,=,,,93,
93,"10205","3_SG","1_SG",2,0,0,=,,,94,
94,"10205","3_SG","2_SG",2,1,0,=,,,95,
95,"10205","2_SG","1_SG",3,0,0,=,,,96,
96,"10205","2_SG","2_SG",3,1,0,=,,,97,
97,"10205","1_SG","1_SG",3,0,0,=,,,98,
98,"10205","1_SG","2_SG",3,1,0,=,,,99,
99,"10205","7_SG","26_SG",3,1,1,=,,,,
100,"10206","4_SG","1_SG",2,0,0,=,,,101,
101,"10206","4_SG","2_SG",2,1,0,=,,,102,
102,"10206","3_SG","1_SG",2,0,0,=,,,103,
103,"10206","3_SG","2_SG",2,1,0,=,,,104,
104,"10206","2_SG","1_SG",3,0,0,=,,,105,
105,"10206","2_SG","2_SG",3,1,0,=,,,106,
106,"10206","1_SG","1_SG",3,0,0,=,,,107,
107,"10206","1_SG","2_SG",3,1,0,=,,,108,
108,"10206","7_SG","26_SG",3,1,1,=,,,,
109,"10209","4_SG","1_SG",2,0,0,=,,,110,
110,"10209","4_SG","2_SG",2,1,0,=,,,111,
111,"10209","3_SG","1_SG",2,0,0,=,,,112,
112,"10209","3_SG","2_SG",2,1,0,=,,,113,
113,"10209","2_SG","1_SG",3,0,0,=,,,114,
114,"10209","2_SG","2_SG",3,1,0,=,,,115,
115,"10209","1_SG","1_SG",3,0,0,=,,,116,
